Name,Sets Played,Matches Played,Matches Started,Points,Points per Set,Kills,Kills per Set,Errors ,Attacking Total Attempts,Hitting Percentage,Set Assists,Assists per Set,Service Aces,Aces per Set,Service Errors ,Service Points,DIG,Dig per Set,Reception Errors,Reception Total Attempts,Reception Percentage,Reception Errors per Set,Block Solos ,Block Assists,Total Blocks,Blocks per Set,Blocking Errors,Ball Handling Errors
"Reilly, Raegen",47,14,0,3,0.06,0,0,0,1,0,45,0.96,3,0.06,11,47,24,0.51,0,0,0,0,0,0,0,0,1,0
"Barry, Lily",49,14,0,11,0.22,0,0,0,3,0,10,0.2,11,0.22,15,49,97,1.98,19,173,0.89,0.39,0,0,0,0,0,0
"May, Bianca",11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0.45,0,0,0,0,0,0,0,0,0,0
"de Boer, Taylor",7,4,0,4.5,0.64,4,0.57,4,21,0,1,0.14,0,0,0,7,0,0,0,0,0,0,0,1,1,0.14,0,0
"Hernandez, Averie",49,14,14,143.5,2.93,127,2.59,44,410,0.202,13,0.27,9,0.18,11,49,78,1.59,29,302,0.904,0.59,0,15,15,0.31,0,1
"Bohm, Cari",49,14,14,65.5,1.34,34,0.69,10,72,0.333,3,0.06,0,0,0,49,4,0.08,1,1,0,0.02,7,49,56,1.14,4,0
"Terry, Raina",49,14,14,255,5.2,209,4.27,100,572,0.191,9,0.18,25,0.51,29,49,90,1.84,18,236,0.924,0.37,5,32,37,0.76,4,0
"Philpot, Ashlyn",49,14,14,146.5,2.99,117,2.39,32,225,0.378,2,0.04,0,0,4,49,8,0.16,0,8,1,0,6,47,53,1.08,2,0
"Campbell, Vivian",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Mosher, Brooke",49,14,14,64.5,1.32,34,0.69,20,121,0.116,434,8.86,19,0.39,35,49,105,2.14,0,2,1,0,3,17,20,0.41,3,1
"Smith, Laynie",49,14,14,119.5,2.44,101,2.06,47,260,0.208,3,0.06,0,0,0,49,17,0.35,0,0,0,0,2,33,35,0.71,6,0
"Martinez Mundo, Christina",49,14,0,10,0.2,1,0.02,1,6,0,48,0.98,9,0.18,24,49,186,3.8,17,255,0.933,0.35,0,0,0,0,0,0
Total,49,14,,823,16.8,627,12.8,258,1691,0.218,568,11.59,76,1.55,130,49,614,12.53,92,977,0.906,1.88,23,194,120,2.45,20,2
Opponents,49,14,,816,16.65,593,12.1,274,1658,0.192,546,11.14,92,1.88,101,49,659,13.45,76,961,0.921,1.55,22,218,131,2.67,7,2